"file","root_pixels_count"
"AF_A20_E_2024-02-14_06H00M.png",93644
"AF_A20_E_2024-02-14_12H00M.png",82996
"AF_A20_E_2024-02-16_00H00M.png",80610
"AF_A20_E_2024-03-06_14H55M.png",85104
"AF_A20_E_2024-03-06_18H00M.png",86460
"AF_A20_E_2024-03-07_00H00M.png",85597
"AF_A20_E_2024-03-07_06H00M.png",81463
"AF_A20_E_2024-03-07_12H00M.png",99000
"AF_A20_E_2024-03-07_18H00M.png",99130
"AF_A20_E_2024-03-08_00H00M.png",89533
"AF_A20_E_2024-03-08_06H00M.png",88662
"AF_A20_E_2024-03-08_12H00M.png",87913
"AF_A20_E_2024-03-08_18H00M.png",83343
"AF_A20_E_2024-03-09_00H00M.png",77174
"AF_A20_E_2024-03-09_06H00M.png",78983
"AF_A20_E_2024-03-09_12H00M.png",75338
"AF_A20_E_2024-03-09_18H00M.png",75705
"AF_A20_E_2024-03-10_00H00M.png",73150
"AF_A20_E_2024-03-10_06H00M.png",68109
"AF_A20_E_2024-03-10_12H00M.png",73939
"AF_A20_E_2024-03-10_18H00M.png",74177
"AF_A20_E_2024-03-11_00H00M.png",70381
"AF_A20_E_2024-03-11_06H00M.png",75760
"AF_A20_E_2024-03-11_12H00M.png",81534
"AF_A20_E_2024-03-11_18H00M.png",70745
"AF_A20_E_2024-03-12_00H00M.png",66051
"AF_A20_E_2024-03-12_06H00M.png",78349
"AF_A20_E_2024-03-12_12H00M.png",85556
"AF_A20_E_2024-03-12_18H00M.png",70465
"AF_A20_E_2024-03-13_00H00M.png",73182
"AF_A20_E_2024-03-13_06H00M.png",76499
"AF_A20_E_2024-03-13_12H00M.png",86975
"AF_A20_E_2024-03-13_13H28M.png",80560
"AF_A20_E_2024-03-13_14H14M.png",79416
"AF_A20_E_2024-03-13_14H31M.png",77737
"AF_A20_E_2024-03-13_18H00M.png",71208
"AF_A20_E_2024-03-14_00H00M.png",72684
"AF_A20_E_2024-03-14_06H00M.png",85998
"AF_A20_E_2024-03-14_12H00M.png",76097
"AF_A20_E_2024-03-14_18H00M.png",71536
"AF_A20_E_2024-03-15_00H00M.png",72535
"AF_A20_E_2024-03-15_06H00M.png",76057
"AF_A20_E_2024-03-15_12H00M.png",71425
"AF_A20_E_2024-03-15_18H00M.png",70961
"AF_A20_E_2024-03-16_00H00M.png",72043
"AF_A20_E_2024-03-16_06H00M.png",75213
"AF_A20_E_2024-03-16_12H00M.png",75838
"AF_A20_E_2024-03-16_18H00M.png",77023
"AF_A20_E_2024-03-17_00H00M.png",74545
"AF_A20_E_2024-03-17_06H00M.png",77035
"AF_A20_E_2024-03-17_12H00M.png",77708
"AF_A20_E_2024-03-17_18H00M.png",77388
"AF_A20_E_2024-03-18_00H00M.png",76910
"AF_A20_E_2024-03-18_06H00M.png",87772
"AF_A20_E_2024-03-18_12H00M.png",80663
"AF_A20_E_2024-03-18_18H00M.png",84548
"AF_A20_E_2024-03-19_00H00M.png",87049
"AF_A20_E_2024-03-19_06H00M.png",93342
"AF_A20_E_2024-03-19_12H00M.png",96450
"AF_A20_E_2024-03-19_18H00M.png",100147
"AF_A20_E_2024-03-20_00H00M.png",99936
"AF_A20_E_2024-03-20_06H00M.png",100542
"AF_A20_E_2024-03-20_12H00M.png",114567
"AF_A20_E_2024-03-20_18H00M.png",118665
"AF_A20_E_2024-03-21_00H00M.png",118522
"AF_A20_E_2024-03-21_06H00M.png",117666
"AF_A20_E_2024-03-21_12H00M.png",118899
"AF_A20_E_2024-03-21_18H00M.png",155440
"AF_A20_E_2024-03-22_00H00M.png",155913
"AF_A20_E_2024-03-22_06H00M.png",157189
"AF_A20_E_2024-03-22_12H00M.png",173498
"AF_A20_E_2024-03-22_18H00M.png",219652
"AF_A20_E_2024-03-23_00H00M.png",216468
"AF_A20_E_2024-03-23_06H00M.png",214397
"AF_A20_E_2024-03-23_12H00M.png",228193
"AF_A20_E_2024-03-23_18H00M.png",271961
"AF_A20_E_2024-03-24_00H00M.png",258222
"AF_A20_E_2024-03-24_06H00M.png",247052
"AF_A20_E_2024-03-24_12H00M.png",255636
"AF_A20_E_2024-03-24_18H00M.png",299559
"AF_A20_E_2024-03-25_00H00M.png",282180
"AF_A20_E_2024-03-25_06H00M.png",265356
"AF_A20_E_2024-03-25_12H00M.png",278827
"AF_A20_E_2024-03-25_14H18M.png",277191
"AF_A20_E_2024-03-25_18H00M.png",293201
"AF_A20_E_2024-03-26_00H01M.png",299660
"AF_A20_E_2024-03-26_06H00M.png",284302
"AF_A20_E_2024-03-26_12H00M.png",251466
"AF_A20_E_2024-03-26_18H00M.png",243219
"AF_A20_E_2024-03-27_00H01M.png",222741
"AF_A20_E_2024-03-27_06H00M.png",196605
"AF_A20_E_2024-03-27_12H00M.png",188488
"AF_A20_E_2024-03-27_18H00M.png",243494
"AF_A20_E_2024-03-28_00H00M.png",238020
"AF_A20_E_2024-03-28_06H00M.png",230161
"AF_A20_E_2024-03-28_12H00M.png",224714
"AF_A20_E_2024-03-28_18H00M.png",255679
"AF_A20_E_2024-03-29_00H01M.png",253472
"AF_A20_E_2024-03-29_17H00M.png",288590
"AF_A20_E_2024-03-29_18H00M.png",288622
"AF_A20_E_2024-03-30_00H00M.png",277988
"AF_A20_E_2024-03-30_06H00M.png",277116
"AF_A20_E_2024-03-30_12H00M.png",285126
"AF_A20_E_2024-03-30_18H00M.png",295886
"AF_A20_E_2024-03-31_00H00M.png",286497
"AF_A20_E_2024-03-31_06H00M.png",291752
"AF_A20_E_2024-03-31_12H00M.png",292411
"AF_A20_E_2024-03-31_18H00M.png",306039
"AF_A20_E_2024-04-01_00H00M.png",284031
"AF_A20_E_2024-04-01_06H00M.png",279546
"AF_A20_E_2024-04-01_12H01M.png",263416
"AF_A20_E_2024-04-02_00H00M.png",273580
"AF_A20_E_2024-04-02_06H01M.png",274042
"AF_A20_E_2024-04-02_18H00M.png",299519
"AF_A20_E_2024-04-03_00H00M.png",296680
"AF_A20_E_2024-04-03_06H00M.png",301957
"AF_A20_E_2024-04-03_12H00M.png",313083
"AF_A20_E_2024-04-03_18H00M.png",355854
"AF_A20_E_2024-04-04_00H00M.png",336865
"AF_A20_E_2024-04-04_06H00M.png",333665
"AF_A20_E_2024-04-04_12H00M.png",324656
"AF_A20_E_2024-04-04_18H00M.png",411198
"AF_A20_E_2024-04-05_00H00M.png",382599
"AF_A20_E_2024-04-05_06H00M.png",356695
"AF_A20_E_2024-04-05_12H00M.png",405694
"AF_A20_E_2024-04-05_18H00M.png",481317
"AF_A20_E_2024-04-06_00H00M.png",443866
"AF_A20_E_2024-04-06_06H00M.png",429054
"AF_A20_E_2024-04-06_12H00M.png",479345
"AF_A20_E_2024-04-06_18H00M.png",549732
"AF_A20_E_2024-04-07_00H00M.png",520229
"AF_A20_E_2024-04-07_06H00M.png",503625
"AF_A20_E_2024-04-07_12H00M.png",509312
"AF_A20_E_2024-04-07_18H01M.png",604701
"AF_A20_E_2024-04-08_00H00M.png",581417
"AF_A20_E_2024-04-08_06H01M.png",547321
"AF_A20_E_2024-04-08_12H00M.png",615986
"AF_A20_E_2024-04-08_18H00M.png",687100
"AF_A20_E_2024-04-09_00H00M.png",665980
"AF_A20_E_2024-04-09_06H00M.png",649180
"AF_A20_E_2024-04-09_12H00M.png",677542
"AF_A20_E_2024-04-09_18H00M.png",772292
"AF_A20_E_2024-04-10_00H00M.png",726723
"AF_A20_E_2024-04-10_06H00M.png",711758
"AF_A20_E_2024-04-10_12H00M.png",702069
"AF_A20_E_2024-04-10_18H00M.png",840908
"AF_A20_E_2024-04-11_00H00M.png",805732
"AF_A20_E_2024-04-11_06H00M.png",770090
"AF_A20_E_2024-04-11_12H00M.png",745449
"AF_A20_E_2024-04-11_18H00M.png",934726
"AF_A20_E_2024-04-12_00H00M.png",908166
"AF_A20_E_2024-04-12_06H00M.png",885447
"AF_A20_E_2024-04-12_12H00M.png",898203
"AF_A20_E_2024-04-12_18H00M.png",1022951
"AF_A20_E_2024-04-13_00H00M.png",1027937
"AF_A20_E_2024-04-13_06H00M.png",982015
"AF_A20_E_2024-04-13_12H00M.png",1018147
"AF_A20_E_2024-04-13_18H00M.png",1071332
"AF_A20_E_2024-04-14_06H00M.png",1027840
"AF_A20_E_2024-04-14_12H00M.png",1045409
"AF_A20_E_2024-04-14_18H00M.png",1075814
"AF_A20_E_2024-04-15_06H00M.png",1039473
"AF_A20_E_2024-04-15_12H00M.png",1045581
"AF_A20_E_2024-04-16_00H00M.png",1089616
"AF_A20_E_2024-04-16_06H00M.png",1073513
"AF_A20_E_2024-04-16_12H00M.png",1086289
